year,RegNo,category,income,measure,type
2004,Samtskhe-Javakheti,income_median_infl,331.02631838603514,Median,Adjusted to inflation (base: 2010 prices)
2004,Adjara A.R.,mean_income,233.72968688573687,Mean,Nominal values
2004,Adjara A.R.,median_income,192.3943461324007,Median,Nominal values
2004,Adjara A.R.,income_mean_infl,361.62490354269033,Mean,Adjusted to inflation (base: 2010 prices)
2004,Adjara A.R.,income_median_infl,297.6711593179056,Median,Adjusted to inflation (base: 2010 prices)
2004,Guria,mean_income,286.78504931288256,Mean,Nominal values
2004,Guria,median_income,240.35880394766423,Median,Nominal values
2004,Guria,income_mean_infl,443.7117816615086,Mean,Adjusted to inflation (base: 2010 prices)
2004,Guria,income_median_infl,371.88142615235193,Median,Adjusted to inflation (base: 2010 prices)
2004,Samegrelo-Zemo Svaneti,mean_income,288.9506898494907,Mean,Nominal values
2004,Samegrelo-Zemo Svaneti,median_income,223.3776704049513,Median,Nominal values
2004,Samegrelo-Zemo Svaneti,income_mean_infl,447.0624452447012,Mean,Adjusted to inflation (base: 2010 prices)
2004,Samegrelo-Zemo Svaneti,income_median_infl,345.60833752056357,Median,Adjusted to inflation (base: 2010 prices)
2004,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,330.7107029749546,Mean,Nominal values
2004,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,270.3275770536493,Median,Nominal values
2004,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,511.6732395329766,Mean,Adjusted to inflation (base: 2010 prices)
2004,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,418.24889803042237,Median,Adjusted to inflation (base: 2010 prices)
2004,Mtskheta-Mtianeti,mean_income,237.33980096451907,Mean,Nominal values
2004,Mtskheta-Mtianeti,median_income,162.27070289732382,Median,Nominal values
2004,Mtskheta-Mtianeti,income_mean_infl,367.2104462818801,Mean,Adjusted to inflation (base: 2010 prices)
2004,Mtskheta-Mtianeti,income_median_infl,251.06407348133166,Median,Adjusted to inflation (base: 2010 prices)
2005,Kakheti,mean_income,315.1754929789185,Mean,Nominal values
2005,Kakheti,median_income,226.48889923154258,Median,Nominal values
2005,Kakheti,income_mean_infl,450.48549300421365,Mean,Adjusted to inflation (base: 2010 prices)
